"","age","sex","educ","province","n","logodds_estimate_lib","estimate_lib","logodds_estimate_conservative","estimate_conservative","logodds_estimate_ndp","estimate_ndp","logodds_estimate_bloc","estimate_bloc","logodds_estimate_green","estimate_green","logodds_estimate_people","estimate_people","logodds_estimate_other","estimate_other"
"970",35,"Male","No Highschool Diploma","British Columbia",1,-1.32091442832793,0.210666196663884,-0.790767998155402,0.312003789113516,-1.07621323807502,0.254223294861432,-17.0809494240293,3.81801739652513e-08,-1.658585332091,0.159951990694534,-2.59342363974852,0.0695628648380703,-5.29282075785491,0.00500240880981151
"971",35,"Male","No Highschool Diploma","Manitoba",1,-1.33996822481563,0.207515284025645,-0.313085748349152,0.422361721948434,-1.29908054854072,0.214319799800198,-17.0659784380878,3.87560688919453e-08,-2.21914177888118,0.0980446722575901,-2.59342363974852,0.0695628648380703,-5.29282075785491,0.00500240880981151
"972",35,"Male","No Highschool Diploma","Ontario",3,-0.906664409416013,0.287682886913976,-0.758457732841465,0.318981202717402,-1.36364946538874,0.203647808712316,-17.1274658577854,3.64448421163024e-08,-2.24879198056419,0.0954537171209777,-2.59342363974852,0.0695628648380703,-5.29282075785491,0.00500240880981151
"973",35,"Male","No Highschool Diploma","Quebec",1,-1.07100004573002,0.255212949651461,-1.55590551953738,0.174234963620851,-1.84623179891235,0.136315934342618,-1.17142404272099,0.236597678321008,-2.31819081673503,0.0896275691222916,-2.59342363974852,0.0695628648380703,-5.29282075785491,0.00500240880981151
"974",35,"Male","Undergraduate Degree","Alberta",12,-1.41209622133134,0.195903637751462,0.413139518985151,0.601840437150442,-2.03007496447668,0.116081230014184,-17.6346361059142,2.19469836092077e-08,-2.97125520522266,0.0487414914806227,-3.60817731049389,0.0263861038957403,-5.13273592339102,0.00586578489101204
"975",35,"Male","Undergraduate Degree","British Columbia",7,-0.746714787483756,0.321537553156001,-0.943732541753052,0.280147003496979,-1.3181835283098,0.211120665780979,-17.6365390444573,2.19052595608489e-08,-1.74512485694829,0.148663151693297,-3.60817731049389,0.0263861038957403,-5.13273592339102,0.00586578489101204
"976",35,"Male","Undergraduate Degree","Manitoba",2,-0.765768583971458,0.317395156519093,-0.466050291946802,0.38555151155034,-1.5410508387755,0.176382565667024,-17.6215680585158,2.223567000028e-08,-2.30568130373847,0.090653529629773,-3.60817731049389,0.0263861038957403,-5.13273592339102,0.00586578489101204
"977",35,"Male","Undergraduate Degree","New Brunswick",4,-0.397083423558824,0.402013279973101,-1.07631273023474,0.254204432224946,-2.18694925801576,0.100928587180586,-17.6165534018646,2.23474542939227e-08,-1.34716559213061,0.206334149132523,-3.60817731049389,0.0263861038957403,-5.13273592339102,0.00586578489101204
"978",35,"Male","Undergraduate Degree","Newfoundland and Labrador",5,-0.0315398654567386,0.492115687210274,-1.29588923447159,0.214857664950786,-1.28737340135201,0.216297721693609,-17.6152097926077,2.23775007205159e-08,-3.16136452463907,0.0406458123024061,-3.60817731049389,0.0263861038957403,-5.13273592339102,0.00586578489101204
"979",35,"Male","Undergraduate Degree","Nova Scotia",6,-0.143232923559105,0.464252862930402,-1.30641159210694,0.213087934118544,-1.78939147080165,0.143147347142269,-17.6176950649744,2.23219555885616e-08,-1.8333024985329,0.137845321454691,-3.60817731049389,0.0263861038957403,-5.13273592339102,0.00586578489101204
"980",35,"Male","Undergraduate Degree","Ontario",20,-0.332464768571838,0.417641028129311,-0.911422276439115,0.286708883688321,-1.60561975562352,0.16719764136018,-17.6830554782134,2.09096408609297e-08,-2.33533150542148,0.0882387865388853,-3.60817731049389,0.0263861038957403,-5.13273592339102,0.00586578489101204
"981",35,"Male","Undergraduate Degree","Prince Edward Island",2,-0.428785692811152,0.394416334160442,-1.36176074196603,0.203954284600512,-1.99750110736824,0.119465539481568,-17.61305588457,2.24257517435805e-08,-1.02197461656492,0.264642947667587,-3.60817731049389,0.0263861038957403,-5.13273592339102,0.00586578489101204
"982",35,"Male","Undergraduate Degree","Quebec",19,-0.496800404885847,0.378292879617241,-1.70887006313503,0.153310331208521,-2.08820208914712,0.11024881510861,-1.72701366314899,0.150969963680426,-2.40473034159232,0.0828126947997036,-3.60817731049389,0.0263861038957403,-5.13273592339102,0.00586578489101204
"983",35,"Male","Undergraduate Degree","Saskatchewan",9,-1.56510371304953,0.172915516794356,-0.077328678453545,0.480677458050285,-1.19139000330077,0.233010426966509,-17.6193262693714,2.22855735985653e-08,-2.81476982602546,0.056531241161375,-3.60817731049389,0.0263861038957403,-5.13273592339102,0.00586578489101204
"984",36,"Female","Graduate Degree","Alberta",4,-1.24462095855476,0.223632665363957,-0.156581251214593,0.460934470971941,-1.54719752081402,0.175491401857725,-17.6802771073701,2.0967816375377e-08,-2.60424956547146,0.0688654257942527,-3.98319600623576,0.0182854305400659,-5.2478114917346,0.00523150266034294
"985",36,"Female","Graduate Degree","British Columbia",3,-0.579239524707179,0.359107597785783,-1.5134533119528,0.180427576282158,-0.835306084647135,0.302524296815695,-17.6821800459132,2.09279538502638e-08,-1.3781192171971,0.201311231576919,-3.98319600623576,0.0182854305400659,-5.2478114917346,0.00523150266034294
"986",36,"Female","Graduate Degree","Manitoba",1,-0.59829332119488,0.354734251981828,-1.03577106214655,0.261966794145163,-1.05817339511284,0.257658675977017,-17.6672090599716,2.12436229897101e-08,-1.93867566398727,0.125793420840539,-3.98319600623576,0.0182854305400659,-5.2478114917346,0.00523150266034294
"987",36,"Female","Graduate Degree","New Brunswick",1,-0.229608160782246,0.442848823192045,-1.64603350043448,0.161645754195944,-1.7040718143531,0.153934210630977,-17.6621944033205,2.13504200141602e-08,-0.98015995237942,0.272860046763501,-3.98319600623576,0.0182854305400659,-5.2478114917346,0.00523150266034294
