"","age","sex","educ","province","vote_liberal","vote_conservative","vote_ndp","vote_bloc","vote_green","vote_people","vote_other"
"151",64,"Male","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"152",66,"Male",NA,"Ontario",0,1,0,0,0,0,0
"153",73,"Female",NA,"Quebec",0,1,0,0,0,0,0
"154",82,"Male","No Highschool Diploma","Ontario",0,1,0,0,0,0,0
"155",38,"Male","Undergraduate Degree","Ontario",0,1,0,0,0,0,0
"156",53,"Male","Highschool Diploma","Nova Scotia",0,0,0,0,1,0,0
"157",50,"Female","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"158",82,"Male","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"159",74,"Male","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"160",54,"Female","Undergraduate Degree","Ontario",0,1,0,0,0,0,0
"161",81,"Male",NA,"Ontario",0,1,0,0,0,0,0
"162",26,"Male","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"163",37,"Male","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"164",61,"Female","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"165",70,"Male","Graduate Degree","Ontario",0,0,0,0,0,0,1
"166",59,"Female","Undergraduate Degree","Ontario",0,1,0,0,0,0,0
"167",50,"Female","Undergraduate Degree","Ontario",0,0,0,0,1,0,0
"168",64,"Male","Undergraduate Degree","Quebec",1,0,0,0,0,0,0
"169",20,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"170",27,"Female","Undergraduate Degree","Ontario",0,0,0,0,1,0,0
"171",65,"Male","Highschool Diploma","Quebec",0,1,0,0,0,0,0
"172",63,"Male","Undergraduate Degree","Ontario",0,1,0,0,0,0,0
"173",66,"Female","Highschool Diploma","Quebec",0,0,0,1,0,0,0
"174",67,"Male",NA,"Ontario",1,0,0,0,0,0,0
"175",61,"Female",NA,"Ontario",1,0,0,0,0,0,0
"176",44,"Male","Undergraduate Degree","Ontario",0,0,1,0,0,0,0
"177",59,"Male",NA,"Nova Scotia",0,0,1,0,0,0,0
"178",56,"Male","Undergraduate Degree","Quebec",0,1,0,0,0,0,0
"179",75,"Male",NA,"Ontario",1,0,0,0,0,0,0
"180",43,"Male","Highschool Diploma","Ontario",0,0,1,0,0,0,0
"181",57,"Male","Highschool Diploma","Ontario",0,0,1,0,0,0,0
"182",37,"Female","Highschool Diploma","Ontario",0,0,0,0,1,0,0
"183",74,"Male","Graduate Degree","Ontario",0,1,0,0,0,0,0
"184",43,"Female","No Highschool Diploma","Quebec",1,0,0,0,0,0,0
"185",37,"Male","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"186",51,"Female","Undergraduate Degree","Ontario",0,1,0,0,0,0,0
"187",74,"Male",NA,"Quebec",0,0,0,1,0,0,0
"188",83,"Male","Graduate Degree","Ontario",1,0,0,0,0,0,0
"189",56,"Male","Highschool Diploma","Ontario",0,0,0,0,1,0,0
"190",72,"Female","Graduate Degree","Ontario",0,0,1,0,0,0,0
"191",43,"Male","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"192",33,"Male","Undergraduate Degree","Alberta",0,1,0,0,0,0,0
"193",78,"Female",NA,"Ontario",0,0,0,0,1,0,0
"194",58,"Male","Undergraduate Degree","Quebec",0,0,0,1,0,0,0
"195",57,"Male","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"196",61,"Male","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"197",65,"Male","Undergraduate Degree","Newfoundland and Labrador",0,1,0,0,0,0,0
"198",24,"Female","Highschool Diploma","Quebec",0,0,0,0,1,0,0
"199",29,"Male","Graduate Degree","Ontario",1,0,0,0,0,0,0
"200",73,"Male","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"201",41,"Female","Graduate Degree","Ontario",0,1,0,0,0,0,0
"202",79,"Female","Graduate Degree","Ontario",1,0,0,0,0,0,0
"203",30,"Male","Highschool Diploma","Quebec",0,0,0,0,1,0,0
"204",60,"Male","Highschool Diploma","Quebec",0,1,0,0,0,0,0
"205",40,"Male","Undergraduate Degree","Ontario",0,1,0,0,0,0,0
"206",46,"Female","Undergraduate Degree","British Columbia",1,0,0,0,0,0,0
"207",34,"Female",NA,"British Columbia",0,0,0,0,1,0,0
"208",48,"Female","Highschool Diploma","Quebec",0,1,0,0,0,0,0
"209",71,"Male",NA,"Ontario",0,0,1,0,0,0,0
"210",44,"Male","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"211",63,"Female","Undergraduate Degree","Quebec",0,1,0,0,0,0,0
"212",42,"Male","Highschool Diploma","Ontario",0,0,1,0,0,0,0
"213",69,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"214",63,"Female","Undergraduate Degree","Quebec",0,1,0,0,0,0,0
"215",34,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"216",36,"Male","Highschool Diploma","Quebec",0,0,1,0,0,0,0
"217",80,"Male",NA,"New Brunswick",0,1,0,0,0,0,0
"218",35,"Male","Highschool Diploma","Prince Edward Island",0,1,0,0,0,0,0
"219",48,"Male","Graduate Degree","Ontario",1,0,0,0,0,0,0
"220",75,"Female","Highschool Diploma","Quebec",0,0,0,1,0,0,0
"221",47,"Male","Undergraduate Degree","Ontario",0,1,0,0,0,0,0
"222",48,"Female","Graduate Degree","Quebec",0,0,0,0,1,0,0
"223",37,"Male","No Highschool Diploma","Alberta",1,0,0,0,0,0,0
"224",31,"Female","Graduate Degree","Ontario",1,0,0,0,0,0,0
"225",53,"Female","Graduate Degree","Ontario",1,0,0,0,0,0,0
"226",75,"Female","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"227",72,"Male","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"228",49,"Female","Undergraduate Degree","Quebec",0,0,0,1,0,0,0
"229",66,"Male","Highschool Diploma","Nova Scotia",0,1,0,0,0,0,0
"230",87,"Female","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"231",74,"Male","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"232",73,"Female","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"233",55,"Male","Undergraduate Degree","Quebec",0,0,0,0,1,0,0
"234",62,"Male","Graduate Degree","Prince Edward Island",1,0,0,0,0,0,0
"235",45,"Male","Graduate Degree","Ontario",0,0,0,0,0,1,0
"236",58,"Female",NA,"Ontario",0,1,0,0,0,0,0
"237",32,"Male","Highschool Diploma","Newfoundland and Labrador",1,0,0,0,0,0,0
"238",60,"Male","Undergraduate Degree","Ontario",0,0,1,0,0,0,0
"239",64,"Female","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"240",62,"Male","Highschool Diploma","Ontario",0,0,0,0,1,0,0
"241",73,"Male","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"242",54,"Male","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"243",31,"Male",NA,"Quebec",0,0,0,1,0,0,0
"244",24,"Male","Undergraduate Degree","Alberta",0,1,0,0,0,0,0
"245",60,"Male","Undergraduate Degree","Newfoundland and Labrador",1,0,0,0,0,0,0
"246",74,"Male","No Highschool Diploma","Ontario",1,0,0,0,0,0,0
"247",70,"Female","Highschool Diploma","Quebec",1,0,0,0,0,0,0
"248",84,"Female","Highschool Diploma","Ontario",0,0,0,0,1,0,0
"249",58,"Female","Undergraduate Degree","Quebec",1,0,0,0,0,0,0
"250",59,"Male","Undergraduate Degree","Quebec",0,0,0,1,0,0,0
"251",51,"Female","Graduate Degree","Ontario",1,0,0,0,0,0,0
"252",74,"Female","Highschool Diploma","Newfoundland and Labrador",0,1,0,0,0,0,0
"253",53,"Female","Highschool Diploma","Quebec",0,1,0,0,0,0,0
"254",80,"Male","Highschool Diploma","Nova Scotia",0,1,0,0,0,0,0
"255",71,"Female","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"256",100,"Female","Graduate Degree","Ontario",1,0,0,0,0,0,0
"257",66,"Male","Highschool Diploma","Quebec",0,1,0,0,0,0,0
"258",65,"Female",NA,"New Brunswick",0,1,0,0,0,0,0
"259",73,"Female",NA,"Ontario",0,0,0,0,1,0,0
"260",40,"Female","Undergraduate Degree","Quebec",1,0,0,0,0,0,0
"261",36,"Male",NA,"Alberta",0,1,0,0,0,0,0
"262",68,"Male","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"263",70,"Female","Undergraduate Degree","Ontario",0,1,0,0,0,0,0
"264",62,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"265",57,"Female","Undergraduate Degree","Ontario",0,1,0,0,0,0,0
"266",33,"Female","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"267",21,"Male","No Highschool Diploma","Alberta",0,0,0,0,1,0,0
"268",64,"Male",NA,"Ontario",1,0,0,0,0,0,0
"269",76,"Female",NA,"Quebec",0,0,0,1,0,0,0
"270",59,"Female","Undergraduate Degree","Quebec",0,0,0,0,1,0,0
"271",77,"Female",NA,"Ontario",0,1,0,0,0,0,0
"272",60,"Female","Highschool Diploma","Quebec",1,0,0,0,0,0,0
"273",61,"Female","Highschool Diploma","Quebec",0,1,0,0,0,0,0
"274",57,"Female","Highschool Diploma","Quebec",1,0,0,0,0,0,0
"275",62,"Female","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"276",62,"Female","Graduate Degree","Ontario",1,0,0,0,0,0,0
"277",69,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"278",63,"Male",NA,"Quebec",0,0,0,0,0,1,0
"279",40,"Male",NA,"Ontario",0,1,0,0,0,0,0
"280",39,"Female","Highschool Diploma","Quebec",0,1,0,0,0,0,0
"281",46,"Female",NA,"Quebec",0,1,0,0,0,0,0
"282",51,"Female",NA,"New Brunswick",1,0,0,0,0,0,0
"283",72,"Male","Highschool Diploma","Newfoundland and Labrador",1,0,0,0,0,0,0
"284",46,"Male","Graduate Degree","Quebec",0,0,0,0,1,0,0
"285",71,"Female","Graduate Degree","Quebec",0,0,0,0,1,0,0
"286",50,"Male","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"287",50,"Male","Highschool Diploma","Ontario",0,0,0,0,1,0,0
"288",55,"Female","Undergraduate Degree","Ontario",0,1,0,0,0,0,0
"289",52,"Female","Highschool Diploma","Quebec",0,1,0,0,0,0,0
"290",62,"Female",NA,"Ontario",1,0,0,0,0,0,0
"291",57,"Male","Undergraduate Degree","Ontario",0,1,0,0,0,0,0
"292",57,"Female","Highschool Diploma","Ontario",0,0,0,0,0,0,1
"293",65,"Male",NA,"Ontario",1,0,0,0,0,0,0
"294",45,"Female",NA,"Ontario",1,0,0,0,0,0,0
"295",53,"Male","Highschool Diploma","British Columbia",0,1,0,0,0,0,0
"296",66,"Male",NA,"Ontario",0,0,1,0,0,0,0
"297",58,"Male",NA,"Quebec",0,1,0,0,0,0,0
"298",54,"Male","Graduate Degree","Quebec",1,0,0,0,0,0,0
"299",48,"Male",NA,"Ontario",0,0,1,0,0,0,0
"300",83,"Female","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"301",55,"Female","Undergraduate Degree","Ontario",0,0,1,0,0,0,0
"302",51,"Female","Graduate Degree","Newfoundland and Labrador",1,0,0,0,0,0,0
